image_id,class_id
20121030000821.png,TB
20121031000511.png,TB
20121106000865.png,TB
20121227001631.png,TB
20121228001159.png,TB
20130103000497.png,TB
20130103000596.png,TB
20130105000207.png,TB
20130108001620.png,TB
20130108001806.png,TB
20130110001193.png,TB
20130111000514.png,TB
20130115001263.png,TB
20130116000738.png,TB
20130122000677.png,TB
20130130001782.png,TB
20130216000004.png,TB
20130219000642.png,TB
20130221001015.png,TB
20130222001458.png,TB
20130226002395.png,TB
20130227000837.png,TB
20130301000213.png,TB
20130302000288.png,TB
20130307000476.png,TB
20130328001077.png,TB
20130328001477.png,TB
20130328001986.png,TB
20130403000946.png,TB
20130405000271.png,TB
20130406000568.png,TB
20130413000708.png,TB
20130415000365.png,TB
20130417000855.png,TB
20130423001094.png,TB
20130425002166.png,TB
20130427001184.png,TB
20130502002441.png,TB
20130504000403.png,TB
20130513000729.png,TB
20130517001031.png,TB
20130522000517.png,TB
20130604001997.png,TB
20130605002099.png,TB
20130616000042.png,TB
20130625001138.png,TB
20130625001993.png,TB
20130628000083.png,TB
20130701001836.png,TB
20130707000091.png,TB
20130715001107.png,TB
20130717001263.png,TB
20130718001582.png,TB
20130723001045.png,TB
20130727000101.png,TB
20130804000127.png,TB
20130812002140.png,TB
20130814000503.png,TB
20130815000883.png,TB
20130816000913.png,TB
20130817000325.png,TB
20130824000520.png,TB
20130909002594.png,TB
20130910000116.png,TB
20130910000577.png,TB
20130914000171.png,TB
20130916001595.png,TB
20130926001079.png,TB
20130927000144.png,TB
20131008002618.png,TB
20131014000440.png,TB
20131021002447.png,TB
20131026000120.png,TB
20131030001415.png,TB
20131102000104.png,TB
20131104001070.png,TB
20131104001419.png,TB
20131106001793.png,TB
20131112002262.png,TB
20131116000109.png,TB
20131117000249.png,TB
20131118000429.png,TB
20131118001633.png,TB
20131125001194.png,TB
20131126002292.png,TB
20131130000075.png,TB
20131206000260.png,TB
20131209000987.png,TB
20131211000761.png,TB
20131218001950.png,TB
20131223001676.png,TB
20131225000999.png,TB
20131227001893.png,TB
20131229000266.png,TB
20140103000061.png,TB
